DOI	title	link_url	journal
https://doi.org/10.1103/PhysRevB.95.115139	Subdimensional particle structure of higher rank <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mi>U</mi><mo>(</mo><mn>1</mn><mo>)</mo></math></span> spin liquids	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.115139	prb
https://doi.org/10.1103/PhysRevB.95.094512	Chern-Simons theory and Wilson loops in the Brillouin zone	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.094512	prb
https://doi.org/10.1103/PhysRevB.95.104107	Phase separation in dilute solutions of <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mmultiscripts><mi>He</mi><mprescripts></mprescripts><none></none><mn>3</mn></mmultiscripts></math></span> in solid <span class="aps-inline-formula"><math xmlns="http://www.w3.org/1998/Math/MathML"><mmultiscripts><mi>He</mi><mprescripts></mprescripts><none></none><mn>4</mn></mmultiscripts></math></span>	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.104107	prb
https://doi.org/10.1103/PhysRevB.95.115134	Spin-entanglement between two freely propagating electrons: Experiment and theory	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.115134	prb
https://doi.org/10.1103/PhysRevB.95.121301	Viscous magnetoresistance of correlated electron liquids	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.121301	prb
https://doi.org/10.1103/PhysRevB.95.125120	Particle-hole symmetry and electromagnetic response of a half-filled Landau level	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.125120	prb
https://doi.org/10.1103/PhysRevB.95.104411	Semiclassical analysis of a magnetization plateau in a two-dimensional frustrated ferrimagnet	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.104411	prb
https://doi.org/10.1103/PhysRevB.95.094103	Ubiquity of quantum zero-point fluctuations in dislocation glide	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.094103	prb
https://doi.org/10.1103/PhysRevB.95.104507	Twisting Anderson pseudospins with light: Quench dynamics in terahertz-pumped BCS superconductors	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.104507	prb
https://doi.org/10.1103/PhysRevB.95.094406	Cluster multipole theory for anomalous Hall effect in antiferromagnets	https://journals.aps.org/prb/abstract/10.1103/PhysRevB.95.094406	prb
